;BLOCK;CORRECT_ANS;KEY_PRESSED;SPEED;TIME;TRIAL
0;1.0;0.0;q;0.95;0.6476092338562012;0.0
1;1.0;3.0;m;0.95;0.4130887985229492;1.0
2;1.0;2.0;k;0.95;0.4911375045776367;2.0
3;1.0;3.0;m;0.95;0.5866272449493408;3.0
4;1.0;1.0;d;0.95;0.49358654022216797;4.0
5;1.0;0.0;q;0.95;0.39287328720092773;5.0
6;1.0;3.0;m;0.95;0.43471717834472656;6.0
7;1.0;2.0;k;0.95;0.4079170227050781;7.0
8;1.0;0.0;d;0.95;0.33984375;8.0
9;1.0;3.0;q;0.95;0.4038863182067871;9.0
0;1.0;1.0;m;0.95;0.2576169967651367;0.0
1;1.0;0.0;q;0.95;0.599647045135498;1.0
2;1.0;3.0;m;0.95;0.4794325828552246;2.0
3;1.0;2.0;k;0.95;0.5345442295074463;3.0
4;1.0;0.0;d;0.95;0.4452037811279297;4.0
5;1.0;1.0;q;0.95;0.3077969551086426;5.0
6;1.0;2.0;m;0.95;0.4571805000305176;6.0
7;1.0;1.0;k;0.95;0.30472493171691895;7.0
8;1.0;3.0;d;0.95;0.13158440589904785;8.0
9;1.0;0.0;m;0.95;0.3116476535797119;9.0
0;2.0;0.0;q;0.95;0.4088742733001709;0.0
1;2.0;3.0;m;0.95;0.4840865135192871;1.0
2;2.0;2.0;k;0.95;0.44824886322021484;2.0
3;2.0;1.0;d;0.95;0.3957397937774658;3.0
4;2.0;2.0;q;0.95;0.3099172115325928;4.0
5;2.0;0.0;m;0.95;0.3591790199279785;5.0
6;2.0;3.0;k;0.95;0.4203064441680908;6.0
7;2.0;2.0;d;0.95;0.25539112091064453;7.0
8;2.0;1.0;m;0.95;0.3866300582885742;8.0
9;2.0;0.0;q;0.95;0.11960554122924805;9.0
0;2.0;0.0;k;0.95;0.253948450088501;0.0
1;2.0;3.0;d;0.95;0.17386364936828613;1.0
2;2.0;2.0;k;0.95;0.23697280883789062;2.0
3;2.0;1.0;q;0.95;0.20176959037780762;3.0
4;2.0;2.0;m;0.95;0.18170976638793945;4.0
5;2.0;0.0;q;0.95;0.2109971046447754;5.0
6;2.0;3.0;d;0.95;0.07513427734375;6.0
7;2.0;2.0;k;0.95;0.10492610931396484;7.0
8;2.0;1.0;q;0.95;0.11870741844177246;8.0
9;2.0;0.0;m;0.95;0.12607836723327637;9.0
0;3.0;0.0;q;0.95;0.41797804832458496;0.0
1;3.0;3.0;m;0.95;0.36422228813171387;1.0
2;3.0;2.0;k;0.95;0.4024794101715088;2.0
3;3.0;1.0;d;0.95;0.4254577159881592;3.0
4;3.0;2.0;q;0.95;0.35058045387268066;4.0
5;3.0;0.0;m;0.95;0.3174781799316406;5.0
6;3.0;3.0;d;0.95;0.37621235847473145;6.0
7;3.0;2.0;k;0.95;0.28162217140197754;7.0
8;3.0;1.0;q;0.95;0.5316088199615479;8.0
9;3.0;0.0;d;0.95;0.39788222312927246;9.0
0;3.0;0.0;d;0.95;0.19100356101989746;0.0
1;3.0;3.0;m;0.95;0.12502431869506836;1.0
2;3.0;2.0;m;0.95;0.8259248733520508;2.0
3;3.0;1.0;k;0.95;0.33785438537597656;3.0
4;3.0;2.0;d;0.95;0.22011160850524902;4.0
5;3.0;0.0;q;0.95;0.5411269664764404;5.0
6;3.0;3.0;m;0.95;0.542773962020874;6.0
7;3.0;2.0;k;0.95;0.38704776763916016;7.0
8;3.0;1.0;d;0.95;0.38939476013183594;8.0
